typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","330210","Odoriferous substances and mixtures; of a kind used in the food or drink industries","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3329","false","-1","N/A",,"false","3329","false",,"false",,"21680","21680","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","330210","Odoriferous substances and mixtures; of a kind used in the food or drink industries","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13458","false","-1","N/A",,"false","13458","false",,"false",,"128400","128400","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","3000","false",,"false",,"16700","16700","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","43","false","-1","N/A",,"false","3111","false",,"false",,"43860","43860","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10","false","-1","N/A",,"false","28","false",,"false",,"16250","16250","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","407100","false",,"false",,"13192888","13192888","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","8","kg","1228744","false","1228744","false","0","false","0","12987885.416","12987885.416","2","true","false",
"C","A","20130101","2013","52","2013","70","BIH","Bosnia Herzegovina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","2","false",,"false",,"66","66","0","true","false",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","129457","false",,"false",,"1909236","1909236","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","841989","Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","376","false","-1","N/A",,"false","103732","false",,"false",,"5062300","5062300","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","843680","Machinery; for agricultural, horticultural or forestry use and n.e.c. in heading no. 8436","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","21","false","-1","N/A",,"false","38932","false",,"false",,"273638","273638","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","843680","Machinery; for agricultural, horticultural or forestry use and n.e.c. in heading no. 8436","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","947800","false",,"false",,"10095161","10095161","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","843680","Machinery; for agricultural, horticultural or forestry use and n.e.c. in heading no. 8436","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","8","kg","57967.3","false","57967.3","false","0","false","0","357722.958","357722.958","2","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","843680","Machinery; for agricultural, horticultural or forestry use and n.e.c. in heading no. 8436","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","19","false","5","u","19","false","12886","false","0","false",,"316431","316431","0","false","true",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","843680","Machinery; for agricultural, horticultural or forestry use and n.e.c. in heading no. 8436","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","11","false",,"false",,"498","498","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","843680","Machinery; for agricultural, horticultural or forestry use and n.e.c. in heading no. 8436","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","741036","false",,"false",,"5351600","5351600","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","21","false","-1","N/A",,"false","995","false",,"false",,"95779","95779","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","-1","N/A",,"false","823","false",,"false",,"160644","160644","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","39","false","-1","N/A",,"false","21171","false",,"false",,"363301","363301","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","757100","false",,"false",,"30794479","30794479","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","28","false",,"false",,"250","250","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","8","kg","104945.65","false","104945.65","false","0","false","0","10635424.962","10635424.962","2","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","847989","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","33","false","5","u","33","false","33756","false","0","false",,"958321","958321","0","false","true",
