typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","253090","Mineral substances; n.e.c. in chapter 25","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24440","false","-1","N/A",,"false","24440","false",,"false",,"7700","7700","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","270300","Peat; (including peat litter), whether or not agglomerated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8398274","false","-1","N/A",,"false","8398274","false",,"false",,"545400","545400","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","270799","Oils and other products of the distillation of high temperature coal tar; n.e.c. in heading no. 2707","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","108640","false","8","kg","108640","false","108640","false","0","false","0","106521.955","106521.955","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20500","false","-1","N/A",,"false","20500","false",,"false",,"16761","16761","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2883","false","8","kg","2883","false","2883","false","0","false",,"6679.812","6679.812","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9571138","false","-1","N/A","0","false","9571138","false","0","false","0","15401601.381","15401601.381","0","true","false",
"C","A","20130101","2013","52","2013","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","-1","N/A",,"false","1000","false",,"false",,"2761","2761","0","true","false",
"C","A","20130101","2013","52","2013","112","BLR","Belarus","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271012","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1075836708","false","-1","N/A",,"false","1075836708","false",,"false",,"659077300","659077300","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271019","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21239305","false","-1","N/A",,"false","21239305","false",,"false",,"18564668","18564668","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","271019","Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1204460","false","8","kg","1204460","false","1204460","false","0","false",,"4006433.217","4006433.217","0","true","false",
